"longitude","latitude","timestamp","satellites","HDOP"
-58.3753166667,-34.6031666667,1235408108,6,2.2
-58.375375,-34.604045,1235408168,6,2.2
-58.375375,-34.604045,1235408229,6,2.2
-58.3751216667,-34.6048583333,1235408288,5,2.5
-58.3751033333,-34.6058916667,1235408350,3,5.5
-58.3750716667,-34.6056466667,1235408955,4,4.5
-58.37516,-34.605205,1235409077,6,2.2
-58.375195,-34.6049783333,1235409137,6,2.2
-58.376655,-34.6036316667,1235409319,5,2.7
-58.3767583333,-34.6030083333,1235409380,6,2.2
-58.3767933333,-34.6025866667,1235409440,5,2.8
-58.3765883333,-34.6027633333,1235409501,6,2.1
-58.3766966667,-34.6026966667,1235410108,5,5
-58.37644,-34.6028866667,1235410174,6,2.1
-58.3769766667,-34.6034433333,1235410230,6,2.1
-58.3778266667,-34.60344,1235410292,6,2.1
-58.3814183333,-34.6031833333,1235410532,7,1.4
-58.3814283333,-34.6031633333,1235410592,8,1.1
-58.3812783333,-34.6033366667,1235410654,5,1.6
-58.3814133333,-34.6031583333,1235410714,8,1.1
-58.381435,-34.6032,1235410776,9,1
-58.3815933333,-34.60316,1235410835,8,1.1
-58.38194,-34.6035816667,1235410896,9,1
-58.38197,-34.603735,1235410956,8,1.1
-58.3823033333,-34.60369,1235411016,7,1.2
-58.38201,-34.605445,1235411199,5,2.5
-58.38201,-34.605445,1235411259,5,2.5
-58.382005,-34.6091633333,1235411501,9,1
-58.3823783333,-34.609165,1235411563,8,1.1
-58.3855416667,-34.6095083333,1235411866,7,1.2
-58.3858916667,-34.60951,1235411932,5,2.2
-58.3861366667,-34.6092916667,1235411988,7,1.1
-58.385565,-34.6090533333,1235412047,7,1.2
-58.385565,-34.6090533333,1235412114,7,1.2
-58.3834,-34.61001,1235412230,8,1
-58.3834333333,-34.61048,1235412291,7,1.1
-58.3834816667,-34.610545,1235412350,9,0.9
-58.3834766667,-34.610555,1235412411,8,1
-58.38341,-34.610565,1235412472,9,0.9
-58.38341,-34.610565,1235412533,8,1
-58.3832866667,-34.610785,1235412593,6,1.4
-58.3834433333,-34.6105716667,1235412653,8,1
-58.3834433333,-34.6105716667,1235412715,8,1
-58.3834016667,-34.6106,1235412775,9,0.9
-58.3834016667,-34.6106,1235412835,9,0.9
-58.3834016667,-34.6106,1235412897,8,1
-58.3834016667,-34.6106,1235412957,3,3
-58.3834316667,-34.610515,1235413017,6,1.4
-58.3834366667,-34.6105516667,1235413200,4,2.2
-58.3834216667,-34.6104716667,1235413260,5,1.5
-58.3832333333,-34.6109466667,1235413320,4,2.6
-58.38355,-34.6102516667,1235413745,4,2.5
-58.3835533333,-34.610285,1235413867,4,4.7
-58.3831433333,-34.61133,1235414109,4,2.8
-58.383535,-34.6102966667,1235414169,7,1
-58.3835133333,-34.610395,1235414230,8,0.9
-58.3737016667,-34.5841666667,1235427447,7,1.5
-58.3737016667,-34.5841666667,1235427508,7,1.5
-58.3737016667,-34.5841666667,1235427573,8,1.5
-58.3737016667,-34.5841666667,1235427630,10,0.9
-58.3737016667,-34.5841666667,1235427690,10,0.9
-58.3737016667,-34.5841666667,1235427750,10,0.9
-58.3737016667,-34.5841666667,1235427810,10,0.9
-58.3737016667,-34.5841666667,1235427872,10,0.9
-58.3737016667,-34.5841666667,1235427932,10,0.9
-58.3737016667,-34.5841666667,1235427993,10,0.9
-58.37375,-34.5840966667,1235428053,10,0.9
-58.37375,-34.5840966667,1235428113,10,0.9
-58.373775,-34.5840316667,1235428175,10,0.9
-58.3737683333,-34.5840233333,1235428235,10,0.9
-58.37378,-34.5840533333,1235428295,10,0.9
-58.3737816667,-34.5840716667,1235428357,10,0.9
-58.3737416667,-34.5841083333,1235428417,9,1.1
-58.3737416667,-34.5841083333,1235428477,10,0.9
-58.3737416667,-34.5841083333,1235428538,10,0.9
-58.3737416667,-34.5841083333,1235428599,10,0.9
-58.3737416667,-34.5841083333,1235428660,10,0.9
-58.3737416667,-34.5841083333,1235428720,10,0.9
-58.3737416667,-34.5841083333,1235428780,9,1
-58.3737416667,-34.5841083333,1235428842,9,1.1
-58.3737416667,-34.5841083333,1235428902,9,1.1
-58.3737416667,-34.5841083333,1235428962,9,1.1
-58.3737416667,-34.5841083333,1235429024,9,1.1
-58.3737416667,-34.5841083333,1235429084,9,1.1
-58.373275,-34.5842183333,1235429145,8,1.1
-58.3730233333,-34.583835,1235429205,9,1.1
-58.3730233333,-34.583835,1235429265,9,1.1
-58.3681333333,-34.5969483333,1235995747,6,1.1
-58.3681333333,-34.5969483333,1235995812,8,0.9
-58.3681333333,-34.5969483333,1235995868,8,0.9
-58.3681333333,-34.5969483333,1235995928,8,0.9
-58.3680516667,-34.5969316667,1235995994,9,0.9
-58.3679883333,-34.59694,1235996050,9,0.9
-58.36796,-34.5969033333,1235996109,8,1
-58.3680083333,-34.5968966667,1235996171,10,0.9
-58.3679883333,-34.5969933333,1235996229,9,0.9
-58.3680983333,-34.59707,1235996290,10,0.9
-58.3680983333,-34.59707,1235996353,10,0.9
-58.3680216667,-34.5969366667,1235996411,10,0.9
-58.3680416667,-34.59689,1235996470,10,0.9
-58.36802,-34.5968916667,1235996530,9,1
-58.3680416667,-34.5968933333,1235996592,9,1
-58.3680416667,-34.5968933333,1235996650,9,1
-58.3679983333,-34.596915,1235996711,9,1.1
-58.3680383333,-34.5968533333,1235996771,10,0.9
-58.3680783333,-34.59683,1235996831,10,0.9
-58.3681,-34.5968466667,1235996890,10,0.9
-58.368135,-34.596855,1235996950,10,0.9
-58.3680866667,-34.5968333333,1235997012,9,0.9
-58.3680266667,-34.59686,1235997072,9,0.9
-58.3680283333,-34.5968083333,1235997133,10,0.9
-58.3679966667,-34.5968183333,1235997192,9,0.9
-58.3679316667,-34.5968183333,1235997253,10,0.9
-58.3677716667,-34.5968383333,1235997312,8,0.9
-58.367625,-34.5965316667,1235997371,8,1
-58.3511466667,-34.5942883333,1235997794,11,0.8
-58.3511466667,-34.5942883333,1235997852,11,0.8
-58.3806083333,-34.6023966667,1236083532,3,1.7
-58.3807133333,-34.6024033333,1236083591,3,1.7
-58.3805,-34.6022933333,1236083652,3,1.7
-58.3807533333,-34.6022033333,1236083713,5,4
-58.3713766667,-34.5991983333,1236084432,4,3.1
-58.371275,-34.5995666667,1236084492,6,1.2
-58.371275,-34.5995666667,1236084552,6,1.2
-58.3743283333,-34.59794,1236084853,5,2.6
-58.3745266667,-34.59805,1236084915,3,2.6
-58.37457,-34.598,1236085034,4,2.8
-58.3732783333,-34.59316,1236085217,7,1.1
-58.373305,-34.59316,1236085277,6,1.3
-58.3725183333,-34.5918766667,1236085399,8,1
-58.3745433333,-34.591625,1236085457,7,1.2
-58.3747366667,-34.5918666667,1236085519,8,1.1
-58.3926,-34.5831133333,1236085879,9,1
-58.3925366667,-34.583195,1236085939,7,1.2
-58.392635,-34.583145,1236085999,9,1
-58.392635,-34.583145,1236086058,8,1
-58.3929233333,-34.582965,1236086179,8,1
-58.3928083333,-34.5830866667,1236086238,9,1
-58.3927833333,-34.583085,1236086301,9,1
-58.3927833333,-34.583085,1236086360,9,1
-58.3902066667,-34.5871066667,1236097794,9,1.1
-58.3901783333,-34.5871216667,1236097854,8,1.2
-58.391405,-34.5873716667,1236097975,7,1.8
-58.3915283333,-34.58725,1236098035,7,1.8
-58.3915283333,-34.58725,1236098093,7,1.8
-58.3925566667,-34.58729,1236098334,3,3
-58.392415,-34.5872416667,1236098397,5,4.9
-58.392415,-34.5872416667,1236098454,5,4.9
-58.3921583333,-34.5867183333,1236098518,4,2.7
-58.3922283333,-34.58702,1236098635,4,2.7
-58.3919066667,-34.5868966667,1236098877,6,2.2
-58.3918616667,-34.58722,1236098937,7,1.6
-58.3918966667,-34.5876166667,1236098997,8,1.2
-58.3923166667,-34.58755,1236099119,7,1.5
-58.3923166667,-34.58755,1236099179,7,1.5
-58.3921466667,-34.5874166667,1236099361,8,1.2
-58.3921133333,-34.5871333333,1236099422,7,1.3
-58.3921133333,-34.5871333333,1236099481,8,1.2
-58.3921133333,-34.5871333333,1236099541,8,1.2
-58.3921133333,-34.5871333333,1236099600,8,1.2
-58.3921133333,-34.5871333333,1236099660,8,1.2
-58.3924533333,-34.5870533333,1236099721,8,1.2
-58.3924533333,-34.5870533333,1236099780,8,1.2
-58.3927933333,-34.5870866667,1236099841,8,1.2
-58.3927516667,-34.5867916667,1236099901,8,1.2
-58.393045,-34.586525,1236099961,8,1.2
-58.393045,-34.586525,1236100021,8,1.2
-58.3935283333,-34.586555,1236100081,6,2.3
-58.3935283333,-34.586555,1236100141,6,2.3
-58.3939666667,-34.5864983333,1236100202,5,2.8
-58.3939666667,-34.5864983333,1236100262,7,1.3
-58.3941766667,-34.586735,1236100326,7,1.3
-58.3941766667,-34.586735,1236100382,7,1.3
-58.3939883333,-34.5869933333,1236100445,8,1.1
-58.3939883333,-34.5869933333,1236100502,8,1.1
-58.3941333333,-34.5873016667,1236100563,6,1.4
-58.3941333333,-34.5873016667,1236100623,7,1.4
-58.394295,-34.5874116667,1236100683,7,1.4
-58.394295,-34.5874116667,1236100744,8,1.1
-58.394295,-34.5874116667,1236100804,8,1.1
-58.394405,-34.5877216667,1236100865,8,1.1
-58.3944766667,-34.587975,1236100925,7,1.4
-58.394505,-34.5882216667,1236100985,7,1.4
-58.3938883333,-34.58812,1236101048,8,1
-58.3934033333,-34.5882416667,1236101104,6,1.5
