"longitude","latitude"
-58.3867666667,-34.5891866667
-58.38274,-34.5934
-58.3826166667,-34.594775
-58.38255,-34.5952366667
-58.3824933333,-34.595455
-58.382255,-34.5965533333
-58.3821616667,-34.597235
-58.3820766667,-34.5982233333
-58.3820733333,-34.5986916667
-58.381865,-34.60091
-58.3817983333,-34.6018166667
-58.38183,-34.6028483333
-58.3815483333,-34.603545
-58.377655,-34.6035366667
-58.37557,-34.6031616667
-58.3753316667,-34.6034216667
-58.37525,-34.60413
-58.3754066667,-34.605815
-58.375555,-34.6074883333
-58.3757033333,-34.60919
-58.3758516667,-34.6108633333
-58.3758516667,-34.6108633333
-58.3758516667,-34.6108633333
-58.3758516667,-34.6108633333
-58.3758516667,-34.6108633333
-58.3758516667,-34.6108633333
-58.3758516667,-34.6108633333
-58.3751666667,-34.604495
-58.3751666667,-34.604495
-58.3748,-34.6043616667
-58.3750416667,-34.6044883333
-58.3747766667,-34.6045583333
-58.3747266667,-34.6044316667
-58.3746516667,-34.6045866667
-58.3746516667,-34.6045866667
-58.3744183333,-34.6045666667
-58.373075,-34.604715
-58.3736383333,-34.6049433333
-58.374105,-34.6045116667
-58.3746316667,-34.6044166667
-58.374295,-34.6042416667
-58.3745783333,-34.604465
-58.374365,-34.6043933333
-58.3745066667,-34.6044433333
-58.374445,-34.6044833333
-58.3746633333,-34.604435
-58.374805,-34.60471
-58.37461,-34.604565
-58.374765,-34.6047766667
-58.3748983333,-34.6047483333
-58.3752283333,-34.6047283333
-58.374495,-34.6045466667
-58.3748583333,-34.6046616667
-58.3748583333,-34.6046616667
-58.37477,-34.6046316667
-58.3739416667,-34.6050683333
-58.3747283333,-34.604625
-58.3753416667,-34.6038383333
-58.3750333333,-34.6033116667
-58.375155,-34.6032933333
-58.3749033333,-34.60289
-58.3749416667,-34.6022333333
-58.3748816667,-34.6016933333
-58.3747866667,-34.6011683333
-58.375065,-34.60056
-58.371865,-34.6016133333
-58.3646216667,-34.6088116667
-58.371955,-34.6017966667
-58.3763766667,-34.597505
-58.3741016667,-34.599785
-58.3753366667,-34.5985083333
-58.376865,-34.5967933333
-58.3759033333,-34.5978783333
-58.37451,-34.5986583333
-58.3753883333,-34.5984516667
-58.3754233333,-34.5985466667
-58.37511,-34.5985016667
-58.37531,-34.59848
-58.3754566667,-34.5982433333
-58.3747916667,-34.5988633333
-58.375645,-34.5981616667
-58.375235,-34.5985866667
-58.375395,-34.5986166667
-58.37622,-34.5975066667
-58.3752783333,-34.59886
-58.3752266667,-34.5985566667
-58.3754566667,-34.59844
-58.3746416667,-34.5990616667
-58.3750633333,-34.5987533333
-58.37495,-34.5988116667
-58.3749133333,-34.598545
-58.3750666667,-34.5984966667
-58.37509,-34.5987066667
-58.37509,-34.5987066667
-58.3754983333,-34.598395
-58.375145,-34.5988733333
-58.375245,-34.5985433333
-58.3756966667,-34.59878
-58.3753716667,-34.599575
-58.3753316667,-34.6004483333
-58.375385,-34.60101
-58.3751866667,-34.602035
-58.3752383333,-34.602585
-58.3753583333,-34.60308
-58.375365,-34.6035416667
-58.37533,-34.6039166667
-58.37533,-34.6039166667
-58.37533,-34.6039166667
-58.37533,-34.6039166667
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3754466667,-34.6036633333
-58.3752483333,-34.603515
-58.375065,-34.6032016667
-58.371105,-34.6030566667
-58.371105,-34.6030566667
-58.3673266667,-34.601955
-58.36811,-34.59805
-58.370245,-34.59126
-58.3710866667,-34.58881
-58.3720133333,-34.58729
-58.3741116667,-34.5863116667
-58.3741083333,-34.5857266667
-58.3742183333,-34.584745
-58.3729783333,-34.58761
-58.3729683333,-34.5876933333
-58.373675,-34.5874633333
-58.3739683333,-34.5864433333
-58.3746483333,-34.5842066667
-58.3746483333,-34.5842066667
-58.3759733333,-34.5798433333
-58.3764333333,-34.5783283333
-58.3764333333,-34.5783283333
